CUENTA,SEXO,CAMPUS,NIVEL,INDICE GENERAL,INDICE GRADUACION,CLASES APROBADAS,CLASES PLAN,CLASES MATRICULADAS,CLASES RET SD,NOMBRE MATERIA,ESTADO,FACULTAD/AREA,NombreCarrera
C11915012 ,FEMENINO,UNITEC-TGU,CFP,0.00,0.00,0.00,8.00,3,3,SEGURIDAD INDUSTRIAL          ,RET,CFP,CFP
C11915012 ,FEMENINO,UNITEC-TGU,CFP,0.00,0.00,0.00,8.00,3,3,SALUD EN EL TRABAJO           ,RET,CFP,CFP
C11915012 ,FEMENINO,UNITEC-TGU,CFP,0.00,0.00,0.00,8.00,3,3,MOT.LID EN SEGU OCU           ,RET,CFP,CFP
11913109  ,MASCULINO,UNITEC-TGU,POSTGRADO,0.00,0.00,0.00,17.00,3,3,TEORÍA ECONÓMICA              ,RET,POSTGRADO,Finanzas
11913109  ,MASCULINO,UNITEC-TGU,POSTGRADO,0.00,0.00,0.00,17.00,3,3,ESTADIS. EN ORGANIZACIONES    ,RET,POSTGRADO,Finanzas
11913109  ,MASCULINO,UNITEC-TGU,POSTGRADO,0.00,0.00,0.00,17.00,3,3,METODOLOGÍA DE INVESTIGACIÓN  ,RET,POSTGRADO,Finanzas
11853178  ,MASCULINO,UNITEC-TGU,POSTGRADO,0.00,0.00,2.00,19.00,1,1,TEORÍA ECONÓMICA              ,RET,POSTGRADO,Proyectos
11853179  ,MASCULINO,UNITEC-TGU,POSTGRADO,0.00,0.00,2.00,19.00,1,1,TEORÍA ECONÓMICA              ,RET,POSTGRADO,Proyectos
11913326  ,FEMENINO,UNITEC-TGU,POSTGRADO,0.00,0.00,0.00,14.00,2,2,ENTORNO Y POLÍTICA ECONÓMICA  ,RET,POSTGRADO,Gestión Servicios Salud
11913326  ,FEMENINO,UNITEC-TGU,POSTGRADO,0.00,0.00,0.00,14.00,2,2,CONTABILIDAD GERENCIAL        ,RET,POSTGRADO,Gestión Servicios Salud
11723024  ,FEMENINO,UNITEC-TGU,POSTGRADO,82.87,83.00,16.00,17.00,1,1,PROYECTO DE GRADUACION        ,RET,POSTGRADO,Dir. Empresarial
11913184  ,FEMENINO,UNITEC-TGU,POSTGRADO,0.00,0.00,0.00,17.00,2,2,ESTADIS. EN ORGANIZACIONES    ,RET,POSTGRADO,Dir. Empresarial
11913184  ,FEMENINO,UNITEC-TGU,POSTGRADO,0.00,0.00,0.00,17.00,2,2,METODOLOGÍA DE INVESTIGACIÓN  ,RET,POSTGRADO,Dir. Empresarial
