Year,Cause Name,State,Deaths
2012,Kidney disease,Vermont,21
2002,Kidney disease,Alaska,21
2000,Suicide,District of Columbia,23
2004,Kidney disease,Alaska,23
2001,Kidney disease,Alaska,24
1999,Alzheimer's disease,Alaska,24
2003,Kidney disease,Alaska,28
2009,Suicide,District of Columbia,29
2016,Kidney disease,Vermont,30
2013,Kidney disease,Vermont,30
1999,Suicide,District of Columbia,30
2006,Suicide,District of Columbia,30
1999,Kidney disease,Wyoming,30
2000,Kidney disease,Alaska,30
2002,Suicide,District of Columbia,31
2005,Suicide,District of Columbia,33
2004,Suicide,District of Columbia,33
2015,Suicide,District of Columbia,34
1999,Kidney disease,Alaska,34
2007,Suicide,District of Columbia,36
2003,Suicide,District of Columbia,36
2001,Influenza and pneumonia,Alaska,36
2014,Kidney disease,Vermont,37
2011,Suicide,District of Columbia,37
2012,Suicide,District of Columbia,37
2013,Suicide,District of Columbia,38
2005,Kidney disease,Alaska,38
2015,Kidney disease,Vermont,39
2008,Kidney disease,Vermont,39
2016,Suicide,District of Columbia,40
2001,Suicide,District of Columbia,40
2007,Kidney disease,Alaska,40
2010,Suicide,District of Columbia,41
2015,Influenza and pneumonia,Alaska,41
2004,Influenza and pneumonia,Alaska,42
2011,Kidney disease,Vermont,43
2008,Suicide,District of Columbia,43
2002,Kidney disease,Wyoming,43
2012,Kidney disease,District of Columbia,44
2012,Kidney disease,Alaska,44
2005,Influenza and pneumonia,Alaska,44
2006,Kidney disease,Alaska,44
2001,Alzheimer's disease,Alaska,44
2004,Kidney disease,Wyoming,45
2000,Kidney disease,Wyoming,45
2014,Kidney disease,Alaska,45
2000,Influenza and pneumonia,Alaska,45
1999,Influenza and pneumonia,Alaska,46
2009,Kidney disease,Alaska,47
2000,Alzheimer's disease,Alaska,47
2007,Influenza and pneumonia,Alaska,48
2004,Alzheimer's disease,Alaska,48
2011,Kidney disease,South Dakota,49
2009,Kidney disease,Vermont,49
2014,Kidney disease,District of Columbia,49
2013,Kidney disease,Alaska,49
2006,Influenza and pneumonia,Alaska,49
2001,Kidney disease,North Dakota,50
2010,Kidney disease,Vermont,50
2015,Kidney disease,Alaska,50
2008,Kidney disease,Alaska,50
2009,Influenza and pneumonia,Alaska,51
2008,Influenza and pneumonia,Alaska,51
2002,Influenza and pneumonia,Alaska,51
2009,Influenza and pneumonia,Vermont,52
2006,Kidney disease,Vermont,52
2005,Kidney disease,Vermont,52
2014,Suicide,District of Columbia,52
2012,Influenza and pneumonia,Alaska,52
2003,Kidney disease,Vermont,53
2002,Kidney disease,Vermont,53
1999,Alzheimer's disease,District of Columbia,53
2016,Kidney disease,Alaska,53
2011,Kidney disease,Alaska,53
2007,Kidney disease,Vermont,54
2013,Kidney disease,District of Columbia,54
2001,Kidney disease,Wyoming,54
2005,Kidney disease,South Dakota,55
2004,Kidney disease,North Dakota,55
2007,Kidney disease,North Dakota,56
2003,Kidney disease,North Dakota,56
1999,Kidney disease,Vermont,56
2013,Kidney disease,Wyoming,56
2008,Kidney disease,Wyoming,56
2010,Kidney disease,Alaska,56
2003,Alzheimer's disease,Alaska,56
2002,Kidney disease,North Dakota,57
2004,Kidney disease,Vermont,57
2016,Kidney disease,District of Columbia,57
2009,Kidney disease,District of Columbia,57
2003,Kidney disease,Wyoming,57
2012,Kidney disease,South Dakota,58
2006,Kidney disease,Wyoming,58
2011,Influenza and pneumonia,Alaska,58
2006,Kidney disease,North Dakota,59
2016,Influenza and pneumonia,Vermont,59
2010,Influenza and pneumonia,Vermont,60
2011,Kidney disease,District of Columbia,60
2003,Influenza and pneumonia,Alaska,60
2016,Influenza and pneumonia,Alaska,61
2005,Alzheimer's disease,Alaska,61
2002,Alzheimer's disease,Alaska,61
2006,Kidney disease,South Dakota,62
2000,Kidney disease,Vermont,62
1999,Suicide,Vermont,63
2013,Kidney disease,South Dakota,64
2010,Influenza and pneumonia,Alaska,64
2015,Kidney disease,District of Columbia,65
2007,Alzheimer's disease,Alaska,65
2016,Kidney disease,Wyoming,66
2005,Kidney disease,Wyoming,66
2013,Influenza and pneumonia,Alaska,66
2005,Kidney disease,North Dakota,67
2000,Kidney disease,North Dakota,67
2007,Kidney disease,District of Columbia,67
2009,Alzheimer's disease,Alaska,67
1999,Diabetes,Alaska,67
2011,Influenza and pneumonia,Vermont,68
2000,Suicide,North Dakota,68
2005,Kidney disease,District of Columbia,68
2006,Kidney disease,District of Columbia,68
2007,Kidney disease,Wyoming,68
2014,Influenza and pneumonia,Alaska,68
2015,Alzheimer's disease,Alaska,68
2014,Alzheimer's disease,Alaska,68
2010,Kidney disease,Wyoming,69
2007,Influenza and pneumonia,Vermont,70
2002,Kidney disease,District of Columbia,70
2005,Suicide,Rhode Island,71
2014,Kidney disease,South Dakota,72
2001,Suicide,Vermont,72
2012,Kidney disease,Wyoming,72
2013,Alzheimer's disease,Alaska,72
2011,Alzheimer's disease,Alaska,72
2004,Suicide,North Dakota,73
1999,Suicide,North Dakota,73
2009,Influenza and pneumonia,District of Columbia,73
2006,Alzheimer's disease,Alaska,73
2010,Kidney disease,South Dakota,74
2002,Suicide,Delaware,74
2014,Influenza and pneumonia,Vermont,74
2008,Influenza and pneumonia,Vermont,74
2014,Influenza and pneumonia,District of Columbia,74
2000,Suicide,Rhode Island,75
2000,Alzheimer's disease,District of Columbia,75
2012,Influenza and pneumonia,District of Columbia,76
2006,Influenza and pneumonia,District of Columbia,76
2009,Kidney disease,Wyoming,76
2007,Kidney disease,South Dakota,77
2013,Influenza and pneumonia,Vermont,77
2006,Influenza and pneumonia,Vermont,77
2000,Suicide,Vermont,77
2016,Influenza and pneumonia,District of Columbia,78
2014,Kidney disease,Wyoming,78
2005,Suicide,Vermont,78
2008,Influenza and pneumonia,District of Columbia,78
2008,Kidney disease,District of Columbia,78
2015,Kidney disease,South Dakota,79
2001,Suicide,North Dakota,79
2001,Kidney disease,District of Columbia,79
2004,Kidney disease,District of Columbia,79
2010,Influenza and pneumonia,District of Columbia,80
2001,Diabetes,Alaska,80
2008,Alzheimer's disease,Alaska,80
2012,Influenza and pneumonia,Vermont,81
2006,Suicide,Vermont,81
2003,Suicide,North Dakota,81
2002,Influenza and pneumonia,District of Columbia,81
2003,Kidney disease,District of Columbia,81
2000,Suicide,Delaware,82
2007,Influenza and pneumonia,District of Columbia,82
2005,Suicide,Delaware,83
2003,Suicide,Vermont,83
2013,Influenza and pneumonia,District of Columbia,83
2001,Suicide,Wyoming,83
2000,Suicide,Wyoming,83
2003,Suicide,Rhode Island,84
2010,Kidney disease,District of Columbia,84
2000,Kidney disease,District of Columbia,84
2009,Diabetes,Alaska,84
2004,Suicide,Rhode Island,85
2015,Influenza and pneumonia,Vermont,85
1999,Kidney disease,North Dakota,85
2011,Kidney disease,Wyoming,85
2010,Alzheimer's disease,Alaska,85
2002,Kidney disease,Idaho,86
2002,Suicide,Rhode Island,86
1999,Suicide,Delaware,86
2004,Influenza and pneumonia,Vermont,86
2008,Suicide,North Dakota,86
2015,Kidney disease,Wyoming,86
2001,Kidney disease,Vermont,86
2001,Influenza and pneumonia,District of Columbia,86
2010,Diabetes,Alaska,86
2002,Diabetes,Alaska,86
2012,Suicide,Vermont,87
2009,Suicide,Vermont,87
2003,Influenza and pneumonia,District of Columbia,87
2000,Diabetes,Alaska,87
2001,Suicide,Rhode Island,88
2004,Suicide,Wyoming,88
2008,Kidney disease,South Dakota,89
2007,Suicide,Vermont,89
2013,Diabetes,Wyoming,89
2016,Kidney disease,South Dakota,90
2006,Suicide,Rhode Island,90
2006,Suicide,North Dakota,90
2009,Suicide,North Dakota,90
2005,Suicide,Wyoming,90
2006,Suicide,Delaware,91
2002,Suicide,North Dakota,91
2012,Influenza and pneumonia,Wyoming,91
1999,Kidney disease,District of Columbia,91
2004,Influenza and pneumonia,District of Columbia,91
1999,Kidney disease,Montana,92
2004,Kidney disease,South Dakota,92
2005,Suicide,North Dakota,92
2002,Suicide,Vermont,92
1999,Kidney disease,New Hampshire,93
2004,Suicide,Delaware,93
2004,Suicide,Vermont,93
2008,Diabetes,Alaska,93
2005,Diabetes,Alaska,93
2004,Diabetes,Alaska,93
2003,Suicide,Delaware,94
2002,Suicide,South Dakota,94
2008,Suicide,Vermont,94
2009,Alzheimer's disease,District of Columbia,94
2001,Kidney disease,Idaho,95
2007,Suicide,Delaware,95
2000,Suicide,South Dakota,95
2007,Suicide,North Dakota,95
2003,Alzheimer's disease,District of Columbia,95
2000,Kidney disease,Idaho,96
2007,Suicide,Rhode Island,96
1999,Suicide,Rhode Island,96
2011,Influenza and pneumonia,District of Columbia,96
1999,Suicide,Alaska,96
2003,Kidney disease,Idaho,97
1999,Kidney disease,South Dakota,97
2005,Influenza and pneumonia,Vermont,97
2012,Diabetes,Wyoming,97
2008,Kidney disease,North Dakota,98
2005,Influenza and pneumonia,District of Columbia,98
1999,Suicide,Wyoming,98
1999,Kidney disease,Idaho,99
2016,Influenza and pneumonia,Wyoming,99
2015,Influenza and pneumonia,Wyoming,99
2001,Alzheimer's disease,District of Columbia,99
2012,Kidney disease,Montana,100
1999,Kidney disease,Delaware,100
2011,Suicide,Rhode Island,101
2003,Kidney disease,Montana,101
2007,Suicide,Wyoming,101
2009,Kidney disease,South Dakota,102
2007,Suicide,South Dakota,102
2003,Suicide,South Dakota,102
2001,Suicide,Alaska,102
2000,Alzheimer's disease,Wyoming,102
2012,Alzheimer's disease,Alaska,102
2003,Diabetes,Alaska,102
2001,Kidney disease,South Dakota,103
1999,Suicide,South Dakota,103
2015,Suicide,Vermont,103
1999,Alzheimer's disease,Wyoming,103
2011,Kidney disease,Montana,104
2014,Kidney disease,North Dakota,104
2010,Kidney disease,North Dakota,104
2015,Influenza and pneumonia,District of Columbia,104
2012,Suicide,Rhode Island,105
2002,Kidney disease,Montana,105
2011,Suicide,Delaware,105
2001,Suicide,South Dakota,105
2012,Suicide,North Dakota,105
2009,Diabetes,Wyoming,105
2010,Diabetes,Wyoming,105
2002,Suicide,Wyoming,105
2004,Alzheimer's disease,Wyoming,105
2007,Diabetes,Alaska,105
2000,Kidney disease,New Hampshire,106
2016,Kidney disease,North Dakota,106
2010,Suicide,Delaware,106
2011,Suicide,North Dakota,106
2010,Suicide,North Dakota,106
2010,Suicide,Vermont,106
2005,Suicide,Hawaii,107
2009,Suicide,Delaware,107
1999,Alzheimer's disease,Delaware,107
2012,Diabetes,Alaska,107
2002,Alzheimer's disease,District of Columbia,107
2011,Diabetes,Alaska,107
2004,Kidney disease,Montana,108
2001,Suicide,Delaware,108
2001,Kidney disease,Delaware,108
2013,Diabetes,District of Columbia,108
2011,Diabetes,Wyoming,108
2004,Kidney disease,Idaho,109
1999,Alzheimer's disease,Hawaii,109
2005,Kidney disease,Montana,109
2008,Suicide,Delaware,109
2010,Influenza and pneumonia,Wyoming,109
2003,Suicide,Wyoming,109
2004,Influenza and pneumonia,Wyoming,109
2006,Diabetes,Alaska,109
2005,Kidney disease,Idaho,110
2007,Kidney disease,Montana,110
2008,Suicide,Rhode Island,110
2011,Kidney disease,North Dakota,110
2000,Alzheimer's disease,Delaware,110
2014,Diabetes,Wyoming,110
2007,Alzheimer's disease,Wyoming,110
2004,Diabetes,Wyoming,110
2005,Alzheimer's disease,Wyoming,110
1999,Kidney disease,Rhode Island,111
2000,Kidney disease,Delaware,111
